fonte: 1, destino: 9649, peso: 1
fonte: 15, destino: 5794, peso: 1
fonte: 48, destino: 9272, peso: 1
fonte: 57, destino: 334, peso: 1
fonte: 67, destino: 5414, peso: 1
fonte: 81, destino: 7133, peso: 1
fonte: 92, destino: 6419, peso: 1
fonte: 94, destino: 5846, peso: 1
fonte: 95, destino: 4332, peso: 1
fonte: 107, destino: 8389, peso: 1
fonte: 222, destino: 4663, peso: 1
fonte: 238, destino: 9352, peso: 1
fonte: 245, destino: 521, peso: 1
fonte: 262, destino: 2904, peso: 1
fonte: 272, destino: 1806, peso: 1
fonte: 278, destino: 6483, peso: 1
fonte: 323, destino: 3376, peso: 1
fonte: 330, destino: 1051, peso: 1
fonte: 343, destino: 1699, peso: 1
fonte: 349, destino: 5110, peso: 1
fonte: 352, destino: 3041, peso: 1
fonte: 455, destino: 7352, peso: 1
fonte: 474, destino: 1288, peso: 1
fonte: 491, destino: 3437, peso: 1
fonte: 495, destino: 2621, peso: 1
fonte: 501, destino: 9128, peso: 1
fonte: 501, destino: 3739, peso: 1
fonte: 533, destino: 3950, peso: 1
fonte: 542, destino: 3479, peso: 1
fonte: 552, destino: 2678, peso: 1
fonte: 558, destino: 5668, peso: 1
fonte: 567, destino: 7505, peso: 1
fonte: 583, destino: 2013, peso: 1
fonte: 600, destino: 5360, peso: 1
fonte: 613, destino: 7695, peso: 1
fonte: 618, destino: 7024, peso: 1
fonte: 622, destino: 3319, peso: 1
fonte: 631, destino: 2376, peso: 1
fonte: 644, destino: 8700, peso: 1
fonte: 644, destino: 3154, peso: 1
fonte: 646, destino: 8111, peso: 1
fonte: 654, destino: 9166, peso: 1
fonte: 655, destino: 1166, peso: 1
fonte: 662, destino: 5024, peso: 1
fonte: 687, destino: 3529, peso: 1
fonte: 693, destino: 7302, peso: 1
fonte: 695, destino: 2196, peso: 1
fonte: 714, destino: 9304, peso: 1
fonte: 728, destino: 2141, peso: 1
fonte: 742, destino: 5868, peso: 1
fonte: 757, destino: 1543, peso: 1
fonte: 765, destino: 1343, peso: 1
fonte: 794, destino: 1576, peso: 1
fonte: 822, destino: 2602, peso: 1
fonte: 833, destino: 1587, peso: 1
fonte: 873, destino: 2744, peso: 1
fonte: 882, destino: 6545, peso: 1
fonte: 891, destino: 7092, peso: 1
fonte: 899, destino: 5945, peso: 1
fonte: 911, destino: 5678, peso: 1
fonte: 914, destino: 7792, peso: 1
fonte: 930, destino: 8243, peso: 1
fonte: 938, destino: 2015, peso: 1
fonte: 944, destino: 7622, peso: 1
fonte: 996, destino: 1887, peso: 1
fonte: 1004, destino: 129, peso: 1
fonte: 1012, destino: 6462, peso: 1
fonte: 1019, destino: 1154, peso: 1
fonte: 1046, destino: 1533, peso: 1
fonte: 1063, destino: 9307, peso: 1
fonte: 1070, destino: 1658, peso: 1
fonte: 1126, destino: 3912, peso: 1
fonte: 1175, destino: 6189, peso: 1
fonte: 1176, destino: 4360, peso: 1
fonte: 1195, destino: 1046, peso: 1
fonte: 1229, destino: 1147, peso: 1
fonte: 1232, destino: 8946, peso: 1
fonte: 1239, destino: 931, peso: 1
fonte: 1244, destino: 6518, peso: 1
fonte: 1257, destino: 4287, peso: 1
fonte: 1281, destino: 2914, peso: 1
fonte: 1285, destino: 7882, peso: 1
fonte: 1298, destino: 2153, peso: 1
fonte: 1319, destino: 3040, peso: 1
fonte: 1356, destino: 7089, peso: 1
fonte: 1369, destino: 2518, peso: 1
fonte: 1384, destino: 6227, peso: 1
fonte: 1411, destino: 3551, peso: 1
fonte: 1411, destino: 9282, peso: 1
fonte: 1421, destino: 5854, peso: 1
fonte: 1432, destino: 7175, peso: 1
fonte: 1438, destino: 2509, peso: 1
fonte: 1448, destino: 2795, peso: 1
fonte: 1455, destino: 4133, peso: 1
fonte: 1474, destino: 98, peso: 1
fonte: 1506, destino: 554, peso: 1
fonte: 1507, destino: 5708, peso: 1
fonte: 1556, destino: 3897, peso: 1
fonte: 1560, destino: 7365, peso: 1
fonte: 1570, destino: 6213, peso: 1
fonte: 1571, destino: 3732, peso: 1
fonte: 1572, destino: 4147, peso: 1
fonte: 1589, destino: 5236, peso: 1
fonte: 1602, destino: 4142, peso: 1
fonte: 1605, destino: 3626, peso: 1
fonte: 1620, destino: 8848, peso: 1
fonte: 1638, destino: 478, peso: 1
fonte: 1673, destino: 7842, peso: 1
fonte: 1700, destino: 3275, peso: 1
fonte: 1700, destino: 9349, peso: 1
fonte: 1702, destino: 4280, peso: 1
fonte: 1704, destino: 8167, peso: 1
fonte: 1778, destino: 9409, peso: 1
fonte: 1809, destino: 9316, peso: 1
fonte: 1834, destino: 1027, peso: 1
fonte: 1883, destino: 4430, peso: 1
fonte: 1892, destino: 4628, peso: 1
fonte: 1895, destino: 4890, peso: 1
